ID;RANK;BUILDING;CITY;COUNTRY;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
116;113;KAFD World Trade Center;Riyadh;Saudi Arabia;303.0;303.0;67;2015;;;0.0;;0.0;0.0
117;113;Jiangxi Nanchang Greenland Central Plaza 1;Nanchang;China;303.0;303.0;59;2015;;;0.0;;0.0;0.0
118;113;Jiangxi Nanchang Greenland Central Plaza 2;Nanchang;China;303.0;303.0;59;2015;;;0.0;;0.0;0.0
119;113;Greenland Puli Center;Jinan;China;303.0;303.0;60;2015;;;0.0;;0.0;0.0
120;118;Leatop Plaza;Guangzhou;China;303.0;303.0;65;2011;;;0.0;;0.0;0.0
121;119;Wells Fargo Plaza;Houston;United States;302.4;302.4;71;1983;;;0.0;;0.0;0.0
122;120;Kingdom Centre;Riyadh;Saudi Arabia;302.3;302.3;41;2002;;;0.0;;0.0;0.0
123;121;The Address Downtown Burj Khalifa;Dubai;UAE;302.2;302.2;63;2008;;;0.0;;0.0;0.0
124;122;Gate of the Orient;Suzhou;China;302.0;302.0;68;2015;;;0.0;;0.0;0.0
125;122;Moscow Tower;Moscow;Russia;302.0;302.0;76;2010;;;0.0;;0.0;0.0
126;122;We've the Zenith Tower A;Busan;South Korea;301.0;301.0;80;2011;;;0.0;;0.0;0.0
127;122;Huachuang International Plaza;Changsha;China;301.0;301.0;66;2017;;;0.0;;0.0;0.0
128;126;Shenzhen Zhongzhou Holdings Financial Center Tower A;Shenzhen;China;300.8;300.8;61;2014;;;0.0;;0.0;0.0
129;127;Gran Torre Santiago;Santiago;Chile;300.0;300.0;62;2012;;;0.0;;0.0;0.0
130;127;Abeno Harukas;Osaka;Japan;300.0;300.0;60;2014;;;0.0;;0.0;0.0
131;127;Arraya 2;Kuwait City;Kuwait;300.0;300.0;60;2009;;;0.0;;0.0;0.0
132;127;Aspire Tower;Doha;Qatar;300.0;300.0;36;2007;;;0.0;;0.0;0.0
133;128;First Canadian Place;Toronto;Canada;298.0;298.0;72;1976;;;0.0;;0.0;0.0
134;128;One Island East;Hong Kong;Hong Kong;298.0;298.0;68;2008;;;0.0;;0.0;0.0
135;129;4 World Trade Center;New York City;United States;298.0;298.0;65;2013;;;0.0;;0.0;0.0
136;130;Eureka Tower;Melbourne;Australia;297.0;297.0;91;2006;;;0.0;;0.0;0.0
137;131;Comcast Center;Philadelphia;United States;297.0;297.0;57;2008;;;0.0;;0.0;0.0
